2482,6705.2,2023-10-19 07:18:41,BNEpgFfwGu
7915,7510.93,2022-11-29 00:11:32,EwcvJrlAhx
3374,3521.21,2022-08-18 23:28:00,BVgCNrMFoj
7823,2131.67,2020-01-24 08:44:14,jUqbpULZCj
8686,3888.63,2022-10-18 14:03:03,BIrsqLbWNC
5655,3670.87,2020-02-22 16:20:34,pMHLQRKvLe
5423,3401.7,2021-04-08 03:06:43,IdcsBykrWi
1603,3603.22,2023-04-22 07:14:51,IEOrueXVwL
4636,418.09,2022-03-21 16:09:01,yNyBTQfLiS
6310,3634.43,2023-01-21 13:31:39,FtEZjOAEOS
3634,3908.5,2021-06-07 05:31:58,VaHoCRhgaE
8419,8146.04,2021-04-19 06:24:49,AJGrSnSwOk
502,4172.97,2020-09-30 22:11:30,zSxhZdYtpK
7993,2697.24,2021-05-30 12:05:20,AwojgPUQAG
4548,3975.73,2022-12-16 18:12:35,pWtOAjmpaI
9367,5944.18,2023-04-29 18:55:19,nxvpEcMmNi
5244,2409.74,2022-09-30 08:47:06,OAMzLsAcDW
3815,6274.69,2022-02-07 21:19:56,kOjFUuXEre
4637,7639.26,2022-06-08 14:47:29,EmnVOeTRbG
8405,5867.3,2020-01-09 13:53:08,UxvXTUtdaQ
7238,4633.97,2022-03-08 19:04:10,pXjEsnxgxP
6873,5667.16,2020-02-16 13:35:16,EoysYLHXac
9635,8922.04,2023-10-12 15:03:49,avIwsDCCjG
2672,958.92,2021-10-02 03:56:13,YacTQnNJHK
3277,4191.9,2023-03-17 09:15:45,OAlCBzRTbu
2951,7851.98,2022-07-21 12:01:19,dGMLHSpzqk
1078,5783.65,2021-07-24 21:10:57,oHJilRpNFi
3858,2126.85,2021-08-24 15:34:25,JDFaqLPAFF
3841,4101.73,2021-01-26 14:54:41,PxNUSxJsUl
6773,7496.34,2020-07-02 11:06:35,LgzwKxnVOF
521,767.59,2020-03-08 03:04:49,OQCGmgAQMN
6152,8018.76,2020-11-01 00:08:58,EgybgqMCBs
4045,5548.3,2021-02-06 10:07:35,ipHeqPoaUB
7755,2962.01,2022-05-26 17:55:06,FMdtjRXSBO
4925,6444.28,2023-06-21 10:24:07,XSxFuByalL
3368,7219.74,2021-02-25 04:05:02,UvMwJdaYqb
2388,4543.36,2023-06-19 04:43:37,LmFdjdEYTr
3272,5039.44,2020-05-04 15:55:28,teznhYAOMb
3343,8996.76,2021-08-31 11:15:59,stjiVstDbj
5060,7069.11,2022-12-29 05:01:25,QSwjusXvvs
3252,3338.14,2022-11-12 20:02:49,LYgxbFftcQ
2942,4901.89,2023-10-31 20:17:02,OcbgKLoegx
5926,5159.4,2022-07-22 10:00:48,pTZbqrVnHd
3833,3364.17,2021-08-11 22:27:32,QVWpxoeTil
4067,6193.75,2021-02-22 12:31:58,uUkqPahwDc
4478,6742.8,2022-10-28 07:35:47,GCZvhsbGxu
4199,2274.9,2020-09-02 04:22:27,YFhfsHiLFO
3622,4013.91,2022-07-21 10:54:18,OliTsSwGsM
1463,1826.33,2021-09-24 12:41:49,uXPpPgwKBK
4361,8681.94,2023-09-04 11:36:03,ymWWUkilwx
8246,4835.92,2022-01-07 15:16:00,YpPyEIEvVD
8237,3951.59,2022-04-14 09:39:32,DphrnVkRuF
2863,5747.35,2022-07-31 18:56:47,ThLpNKBFsN
9760,3464.91,2021-12-22 02:10:01,wJmQmprVuO
6819,4861.05,2020-11-20 10:17:26,fovoUgkRKy
7967,4867.71,2022-06-29 23:47:45,TgOvyVLKST
8806,6614.28,2020-11-05 10:57:15,tphGzbLmwH
